article,rev_id
Brigitta Pallauf,1215184008
Wladimir von Pawlowski,1242446030
Johann Anton von Pergen,1248404055
Gerhard Pfanzelter,1238011369
Walter Pfrimer,1249288737
Leopold Poetsch,1248552155
Thomas Prinzhorn,1215185462
Gregor Razumovsky (activist),1236098636
Horst Rosenkranz,1215185628
Emil Sax,1215185845
Peter Schieder,1239601735
Karl Schmitzer,1215186109
Sonja Zwazl,1235856770
"Georg Adam, Prince of Starhemberg",1215186237
Gundaker Thomas Starhemberg,1246777408
Josef Staribacher,1215186443
Peter Strasser (politician),1240951343
Julius Tandler,1153989705
"Leopold, Count von Thun und Hohenstein",1215186791
Karl Freiherr von Vogelsang,1231556362
Anton von Winzor,1231556425
Gisela Wurm,1215187415
Alexander Zach,1215187552
Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1243965585
Karl von Zinzendorf,1240906258
Muzamil Abdullayev,1223484511
Leyla Abdullayeva,1230366514
Elchin Afandiyev,1243626881
Fazail Agamali,1250642641
Aliabbas Salahzade,1211047878
Enver Alikhanov,1161577254
Tarlan Aliyarbayov,1240965677
Dilara Aliyeva,1236388140
Araz Alizadeh,1246060446
Ali Asadov,1237483914
Ashraf Bey Taghiyev,1213943020
Chimnaz Aslanova,1245503366
Akram Aylisli,1247420701
Sahil Babayev,1207600921
Huseyngulu Baghirov,1199215674
Bakhish bey Rustambeyov,1246060690
Alovsat Bakhshiyev,1207738330
Mirgasim Cheshmazer,1226415908
Vilayat Eyvazov,1208072134
Abdurrahman Fatalibeyli,1241052691
Fazail Ibrahimli,1243509483
Afshan Gadimbeyova,1243747432
Garib Karimoğlu,1246060699
Gudrat Gasanguliev,1234004989
Solomon Grobshtein,1067081975
Teymur Guliyev,1232296078
Mammad Gurbanov,1237445893
Musa Hacigasimov,1236490449
Asaf Hajiyev,1235219197
Haji Molla Ahmad Nuruzade,1239189558
Farhad Hajiyev,1246286594
Hasan Majidov,1236490430
Hasan Hasanli,1244589428
Jamil Hasanli,1248447237
Ali M. Hasanov,1245282668
Zakir Hasanov,1224596001
Ali Huseynli,1245270394
Alisahib Huseynov,1246588423
Ali Ibrahimov,1244157806
Irshad Aliyev,1225308278
Mamed Iskenderov,1244201378
Vidadi Isgandarov,1249203876
Ajdar Ismailov,1157124148
Saftar Jafarov,1222623261
Jeyhun Jalilov,1228687346
Arastun Javadov,1147579900
Rovshan Javadov,1250266366
Anar Karimov,1245270299
Boris Kevorkov,1217681945
Gurban Khalilov,1243520102
Ahmad Kordary,1187254621
Lutfali bey Behbudov,1226230854
Ilham Madatov,1011331249
Makhmud Mamed-Guliev,1243510539
Majnun Mammadov,1248225337
Musa Mammadov,1243510550
Ramin Mammadov,1248662299
Elshad Mirbashir oghlu,1194162044
Tahir Mirkishili,1210593900
Movsum Samadov,1241255046
Fuad Naghiyev,1248662296
Eldar Namazov,1206211739
Namig Nasrullayev,1158375491
Siyavush Novruzov,1243520070
Zahid Oruj,1213965350
Sadig Rahimov,1245157534
Suleyman Rahimov,1193027962
Huseyn Rahmanov,1106104383
Rovshen Rzayev,1208078338
Hasan Seyidov,1148385245
Hasan Seyidov (scientist),1198202282
Parviz Shahbazov,1213858589
Mammad agha Shahtakhtinski,1185599926
Abid Sharifov,1243510547
Shirali Akhundov,1213002608
Ikhtiyar Shirinov,1243510572
Bakhtiyar Vahabzadeh,1249675761
Vugar Mustafayev (minister),1208077047
Yusif Ziya Talibzadeh,1243510546
Nurali Yusifbayli,1243510541
Keith Bell (Bahamian politician),1243023554
Charles Carter (Bahamian journalist),1162793449
Harold Christie,1142294843
Timothy Donaldson,1245586658
Eugene Dupuch,1181612386
Joseph Robert Love,1177467150
McKell Bonaby,1238577650
Pakesia Parker-Edgecombe,1226025677
James Carmichael Smith (postmaster),1248344476
Mohammed Isa Al Abbasi,1171757402
Abdulla Adel Fakhro,1223700072
